Title,Year,Keywords,MeSH Terms
"Bioconversion potential of tomato, corn, and date palm wastes by black soldier fly larvae: a comparative evaluation.",2026,Hermetia illucens; agricultural waste; bioconversion; black soldier fly larvae; circular bioeconomy,Animals; Larva; Solanum lycopersicum; Zea mays; Phoeniceae; Diptera
A Novel Approach to Biodegradation and Detoxification of Ricinine in Castor Meal: Relationship Between the Gut Microbiota and Microbial Metabolites of <i>Hermetia illucens</i>.,2026,black soldier fly larvae; degradation; detoxification; gut metabolomics; ricinine,
Exploring the Structure-Activity Relationships and Molecular Mechanisms of Black Soldier Fly-Derived Antimicrobial Peptides with AI Insights.,2026,AMP prediction; AlphaFold; Hermetia illucens; antimicrobial resistance; black soldier fly; genomics; insect antimicrobial peptides; machine learning; mechanism of action; peptide engineering; structure–activity relationship; transcriptomics,
"Supercritical Defatting, Composition and Digestibility of Meals from Black Soldier Fly (<i>Hermetia illucens</i>) Larvae Fed Olive Leaves, Olive Pomace or Quinoa Husk By-Products.",2026,black soldier fly; by-products; defatting; digestibility; edible insects; olive oil; quinoa; supercritical CO2,
Effects of Dietary Supplementation with Black Soldier Fly Larvae (<i>Hermetia illucens</i>) Frass on Common Carp (<i>Cyprinus carpio</i>).,2026,common carp; fatty acid composition of hepatopancreas; growth performance; larval frass; serum biochemical parameters,
"Valorization of chicken manure with bread waste, yeast and cyanobacterium Spirulina platensis to enhance black soldier fly larval performance.",2026,Black soldier fly; Bread waste; Chicken manure; Cyanobacteria; Yeast,Animals; Manure; Larva; Spirulina; Saccharomyces cerevisiae; Chickens; Bread; Animal Feed; Diptera; Waste Management; Simuliidae
Effects of Dietary Black Soldier Fly Larvae on Production Performance and Cecal Microbiota of Yunshang Countryside Chickens.,2026,alternative protein source; blood biochemistry; chickens; gut microbiota; meat and egg quality,
Potential Complementary Modulation of Rumen Fermentation and Lipid Metabolism in Sheep: A Hypothesis Framework for Fermented Chinese Chive Juice and Black Soldier Fly-Derived Fatty Acids.,2026,Chinese chive; black soldier fly; complementary effects; fermentation; lauric acid; lipid metabolism; rumen fermentation; sheep,
"The effect of two different defatted insect meals in Japanese quail diets on the performance, ileal morphometry, apparent ileal digestibility and blood parameters.",2026,Alternative protein source; Blood dynamics; Hermetia illucens; Poultry nutrition; Tenebrio molitor,Animals; Animal Feed; Coturnix; Digestion; Diet; Ileum; Animal Nutritional Physiological Phenomena; Larva; Random Allocation; Male
Correction: Black soldier fly frass as a sustainable organic fertilizer: enhancing productivity of leafy vegetables and soil health in Benin.,2026,black soldier fly; frass; insect; manure; organic; yield,
Antimicrobial effects of novel Hermetia illucens peptides.,2026,Antibacterial activity; Antimicrobial peptides; Black Soldier Fly; Defensin,
Using an insect for sustainable waste management of a superabundant bird.,2026,Bioconversion; Biowaste valorization; Circular economy; Nutrient recovery; Urban sustainability; Wildlife waste,Animals; Feces; Waste Management; Larva; Geese; Diptera; Ontario
"Substrate and stage effects on growth, composition, frass traits, and economic efficiency in black soldier fly (<i>Hermetia illucens</i>).",2026,animal feeds; bioconversion; frass utilisation; insect farming; sustainability,
The Role of GRP78/ATF6/IRE1 and Caspase-12 Signaling Pathways in the Protective Effects of n-Hexane Oil Extract of Black Soldier Flies' Larvae (<i>Hermetia illucens</i>) Against Aflatoxin-Induced Hepatotoxicity in Rats.,2025,Aflatoxin B1; Apoptosis; GRP78/ATF6/IRE1 Signaling Pathway; Hermetia illucens; Liver Injury; Oxidative Stress,
A novel black soldier fly protein hydrolysate improves the muscle growth of rainbow trout (<i>Oncorhynchus mykiss</i>) via the PI3K/AKT/mTOR pathway.,2026,Black soldier fly protein hydrolysate; Growth performance; Muscle development; PI3K/AKT/mTOR pathway; Rainbow trout,
Fermentation characteristics and nutritional value of whole and defatted black soldier fly larvae meal for ruminants using <i>in vitro</i> techniques.,2026,Black soldier fly larvae; Insect meal; Rumen fermentation; in vitro digestibility,
Effect of phase-specific dietary black soldier fly larvae supplementation on growth performance and blood biochemical indices of local breed F2 meat roosters.,2026,Black soldier fly larvae; Blood biochemistry indices; Growth performance; Native chicken; Phase-specific supplementation,"Animals; Chickens; Animal Feed; Dietary Supplements; Diet; Larva; Random Allocation; Male; Animal Nutritional Physiological Phenomena; Simuliidae; Dose-Response Relationship, Drug"
Standardized Ileal Digestibility of Protein and Amino Acids in Black Soldier Fly Larvae and Duckweed in Broiler Chickens.,2026,alternative feed ingredients; aquatic plants; insect meal; poultry nutrition,
Partial and Total Substitution of Soybean Meal with Black Soldier Fly Larvae Meal in Japanese Quail Diets: Effects on Performance Criteria and Feed Cost Scenarios.,2026,alternative protein sources; black soldier fly larvae meal; feed efficiency; growth dynamics; scenario-based economic analysis,
Towards Functional Fertilisers: Feed Composition Shapes Microbial Community Structure and Viability in Black Soldier Fly (Hermetia illucens) Frass.,2026,biodiversity; circular economy; insect manure; metabarcoding; regulation (EU) 2021/1925; sustainability,Animals; Animal Feed; Microbiota; Bacteria; Fertilizers; Larva; Fungi; Simuliidae; Diptera; Aquaculture
Bioconversion of restaurant food waste via black soldier fly larvae into a high-value protein source for improving meat quality in finishing pigs.,2026,Antioxidant properties; Black soldier fly; Finishing pig; Gut microbiota; Lipid metabolism; Meat quality,Animals; Animal Feed; Swine; Larva; Meat; Diet; Waste Management; Simuliidae; Food Loss and Waste
Black soldier fly frass as a sustainable organic fertilizer: enhancing productivity of leafy vegetables and soil health in Benin.,2025,black soldier fly; frass; insect; manure; organic; yield,
Waste-to-feed bioconversion using <i>Hermetia illucens</i> Larvae: Current insights and prospects.,2025,Bioconversion; Hermetia illucens; Insect protein; Organic waste; Sustainable feed,Animals; Animal Feed; Larva; Diptera
Evaluating the nutrient and fatty acid profiles of black soldier fly larvae (<i>Hermetia illucens</i>) raised on various diets in Thailand.,2025,Hermetia illucens; black soldier fly larvae; fatty acid profile; life on land; nutritional value; responsible consumption and production; zero hunger,
Feeding live or processed black soldier fly larvae to slow-growing broilers impacts their behaviour differently.,2026,Activity; Health and welfare; Hermetia illucens; Insects as feed; Live larvae,"Animals; Chickens; Larva; Animal Feed; Diet; Female; Behavior, Animal; Diptera; Animal Nutritional Physiological Phenomena; Feeding Behavior; Simuliidae"
Electrocoagulation-treated poultry wastewater sludge as a sustainable feed resource for black soldier fly larvae.,2026,Diet preparation; Electrocoagulation; Flocculation; Wastewater sludge; Weight gain,
Dual-strain engineering in Pd metallene for ultrasensitive tetracycline electrochemical biosensing.,2026,Antibiotic sensing; Biosensing; Electrocatalytic oxidation; Pd metallene; Synergistic doping,Biosensing Techniques; Palladium; Tetracycline; Electrochemical Techniques; Animals; Anti-Bacterial Agents; Limit of Detection
"Molecular Diversity, Structure-Function Relationship, Mechanism of Action, and Transformative Potential of Black Soldier Fly Antimicrobial Peptides Against Multidrug-Resistant Pathogens.",2026,analytical diversity; antibiotic resistance; antimicrobial peptides; artificial intelligence; black soldier fly; mechanism of action; multidrug resistance,
Research note: Antimicrobial properties of commercial black soldier fly (Hermetia illucens) meal against gram-positive and gram-negative bacteria.,2026,Antimicrobial peptide (AMP); Black soldier fly larvae (BSFL); Black soldier fly larvae meal (BSFM); Minimum inhibitory concentration (MIC),Animals; Animal Feed; Larva; Gram-Negative Bacteria; Gram-Positive Bacteria; Antimicrobial Peptides; Anti-Bacterial Agents; Diptera; Simuliidae
Partial Replacement of Soybean Meal with Black Soldier Fly (<i>Hermetia illucens</i>) Larva Meal Maintains Stable Reproductive Performance and Health Status of Sows and Their Offsprings.,2025,black soldier fly; insect meal; litter size; milk composition; reproduction performance; weaning piglets,
Genomic Insights and Bioconversion Potential in the Black Soldier Fly (<i>Hermetia illucens</i>): Current Advances and Future Directions.,2026,bioconversion; black soldier fly; black soldier fly genetics; genome editing,
"Effect of Rearing Substrate on Nutritional Composition, Growth Performance and Multi-Omics Characteristics of Black Soldier Fly.",2025,black soldier fly; growth performance; nutritional composition; omics technologies; protein feed; rearing substrate,
"Evaluation of Different Terrestrial Oils as an Alternative to Dietary Fish Oil on Feed Physical Properties, Growth, Feed Utilization, and Fatty Acid Profile of Gangetic Catfish (<i>Mystus cavasius</i>).",2026,Gangetic catfish (Mystus cavasius); black soldier fly larvae oil; fatty acid composition; fish oil replacement; growth performance; terrestrial oils,
Human-mediated dispersal and breeding reshape global genomic patterns in black soldier flies.,2026,Black soldier fly; Founder effects; Genetic diversity; Inbreeding; Population genomics; Sustainable insect farming; Whole-genome sequencing,"Animals; Genome, Insect; Genetic Variation; Humans; Breeding"
Mitigation of antibiotic resistance genes and pathogens via black soldier fly-mediated bioconversion of chicken manure.,2026,Antibiotic resistance genes; Black soldier fly; Chicken manure; Environmental biosafety; Microbial community; Waste bioconversion,"Animals; Manure; Drug Resistance, Microbial; Chickens; Diptera; Larva; Bacteria; Anti-Bacterial Agents; Genes, Bacterial"
Incorporating defatted black soldier fly meal (BSFLM) as a functional alternative ingredient in dog food.,2026,black soldier fly larvae meal; canine nutrition; digestibility; gut health; sustainable protein source,Animals; Dogs; Animal Feed; Diet; Male; Animal Nutritional Physiological Phenomena; Female; Larva; Diptera; Digestion
Methanogenic activities signatures in broilers fed black soldier fly (<i>Hermetia illucens</i>) larvae-based diets.,2026,Animal production and health; Black soldier fly; Circular bioeconomy; Cleaner production; Food security; Methanogenesis,
A haplotype reference panel and genotype imputation framework for the black soldier fly (Hermetia illucens).,2026,Black soldier fly; Genotype imputation; Low coverage sequencing; Reference panel; Single nucleotide polymorphisms,"Animals; Haplotypes; Polymorphism, Single Nucleotide; Genotype; Whole Genome Sequencing; Diptera; Gene Frequency; Genotyping Techniques; Genome, Insect; Simuliidae"
Multi-mycotoxin method applicable for the safety assessment of waste-fed black soldier fly (Hermetia illuscens) larvae on the way to circular bioeconomics.,2026,Bioeconomics; Black soldier fly larvae; Deoxynivalenol; Extraction procedure; Hermetia illuscens; High-resolution mass spectrometry; Mycotoxins,"Animals; Larva; Mycotoxins; Animal Feed; Chromatography, High Pressure Liquid; Mass Spectrometry; Trichothecenes; Food Contamination"
"Effects of black soldier fly replacing fish meal on growth performance, serum parameters, and intestinal microbiota of weaned piglets.",2026,black soldier fly; fish meal; growth performance; intestinal microbiota; serum parameters; weaned piglet,Animals; Gastrointestinal Microbiome; Animal Feed; Diet; Swine; Animal Nutritional Physiological Phenomena; Weaning; Male; Random Allocation; Female; Simuliidae
Household recycling behavior and community-based waste management: An agent-based modeling of socioeconomic heterogeneity in urban Indonesia.,2026,Community-based waste management; Financial incentives; Household waste behavior; PAYT system; Urban solid waste management; Waste sorting participation,Indonesia; Waste Management; Humans; Socioeconomic Factors; Recycling; Family Characteristics; Solid Waste
"Cold storage and cryoprotectant accumulation to prolong shelf-life in black soldier fly, Hermetia illucens.",2026,Hermetia illucens; bioconversion; cold storage; cryoprotectants; insect rearing; post‐storage performance,
Amplicon sequence data from the gut microbiota of broiler chickens fed black soldier fly (<i>Hermetia illucens</i>) larvae-based diets.,2026,16S rRNA; amplicon sequencing; black soldier fly; broiler chicken; gut microbiota,
Synergistic Effects of Nanochitosan and Demineralized Dentin Matrix on Alveolar Bone Substitution.,2026,,Animals; Chitosan; Guinea Pigs; Dentin; Osteoprotegerin; Humans; Bone Regeneration; RANK Ligand; Tooth Extraction; Alveolar Process
"Ultrastructure of the black soldier fly antennal sensilla (Hermetia illucens, Stratiomyidae: Hermetinae).",2026,BSF; Diptera; Olfaction; Sensory systems; Thermo-hygroreceptors,Animals; Sensilla; Female; Male; Diptera; Arthropod Antennae
Stage-Specific Microbiota Transitions Throughout Black Soldier Fly Ontogeny.,2026,Attractants; Circular economy; Insect farming; Insect immunity; Interkingdom communication; Microbial colonization,"Animals; Larva; Female; Bacteria; Microbiota; Oviposition; Pupa; Ovum; Diptera; Hemolymph; Gastrointestinal Microbiome; RNA, Ribosomal, 16S"
Global Research Trends of Black Soldier Fly Larvae (<i>Hermetia illucens</i>) Meal in Aquaculture From a Scientometric Perspective (2007-2025).,2026,aquaculture; bibliometric; black soldier fly larvae; global research; scientometric,
